country;link;text;Inequality in payment;Women Household ;Women work in public;Change in gender role
Mistral-large (prompt 1) Ethiopia;;"The sun rises over the highlands, and with it, the day unfolds in a rhythm as old as the land itself. In the villages, women move like the first light—swift, purposeful. They are the ones who stir the injera batter before dawn, their hands deft as they spread the thin, spongy bread over the mitad. ""Awo, yene konjo,"" a mother might murmur, nudging her daughter to help grind the coffee beans, the scent curling into the morning air. The market is their domain, too—women in vibrant netela wraps, bargaining over spices, onions, and bundles of khat, their voices sharp with laughter or firm with resolve.
Men stride toward the fields or the coffeehouses, where talk of crops, politics, and the price of teff swirls with the steam from tiny cups. ""Lij, take this to your father,"" a woman might say, handing a boy a bundle of freshly baked bread, her words a bridge between the home and the world outside. The elders, both men and women, sit in the shade, their wisdom sought but their labor eased, their presence a quiet anchor.
By evening, the roles blur slightly—men return to help with the children, women join the men for coffee, their voices weaving together. Yet the boundaries remain, unspoken but clear, like the paths worn smooth between the fields and the home.
";0;1;1;1
Mistral-large (prompt 2) Ethiopia;;"The fire crackled low in the clay hearth as Almaz knelt to stir the simmering wat, her fingers brushing the edge of the pot with practiced ease. Outside, the call to prayer wove through the village, but inside, the rhythm was hers—measured, unyielding. ""Lemlem, fetch the coffee,"" she said without turning, her voice steady as the grind of the mortar. Her daughter, barely twelve, hesitated, glancing toward the door where her brother, older by a year, lounged with a stick, whittling aimlessly. ""Why me?"" Lemlem muttered, but she moved, her bare feet silent on the packed earth.
Through the smoke-hazed air, Almaz watched her husband, Abebe, stride in from the fields, his shoulders dusted with red soil. He paused at the threshold, his eyes flickering over the scene—the girl at the fire, the boy with his idle hands. ""You let her work while you play?"" he asked, not unkindly, but the question hung between them, heavy as the scent of roasting coffee. Lemlem’s fingers tightened around the clay cup, and for a heartbeat, no one spoke. Then Abebe laughed, ruffling his son’s hair. ""Tomorrow, you carry the water,"" he said, but the words felt like a promise, or maybe a challenge. The fire popped, and the moment passed—yet something lingered, unspoken, in the way Lemlem lifted her chin.
";0;1;1;1
Mistral-large (prompt 3) Ethiopia;;"Dawn breaks over the highlands, and with it, the quiet choreography of labor begins. The women rise first, their hands shaping the day before the sun claims the sky—kneading dough, stoking fires, their voices a murmur of instructions and laughter as they move between the hearth and the market. The men follow, their paths leading to the fields or the coffeehouses, where deals are struck and stories exchanged, their presence a marker of the world beyond the home. The air hums with the rhythm of expectation: women weave the fabric of daily life, their work the invisible thread holding families together, while men step into roles that carry them outward, their labor measured in crops, livestock, and the weight of decisions made in the shade of acacia trees.
Yet the lines are not rigid. In the markets, women bargain with the sharpness of traders twice their size, their voices ringing over the clatter of coins. In the fields, men bend to the earth, their hands as familiar with the soil as any woman’s. Recognition, though, is uneven—praised for the harvest, the men return to the glow of admiration, while the women’s labor is absorbed into the silence of routine. But in the quiet moments, when the coffee is poured and the day’s work is done, there is a shared understanding: the land, the home, the future—all are shaped by the hands of both, even if the world does not always say so.
";0;1;1;1
Qwen 3-Max (prompt 1) Ethiopia;;"Before dawn cracks the highlands, women are already stirring—kneeling by the hearth, coaxing embers to life beneath the *mitad*. “*Yenegele*,” one murmurs—*it’s time*—as her daughter grinds barley, wrists moving in rhythm older than memory. Men rise later, sipping thick, spiced coffee before herding cattle or tending fields; their domain is the open earth, council benches, and the market’s clamor.  

In town, boys race barefoot past girls balancing water jugs on their heads—*their* chore, their quiet duty. At noon, mothers cook while fathers recline, debating politics or harvests. Even in Addis, where glass towers rise, office floors often segregate: men at desks, women serving tea, cleaning floors.  

Yet change hums beneath the surface. A university student adjusts her hijab between lectures; a female farmer negotiates seed prices, voice steady. Still, the old refrain echoes in village proverbs: “*The man is the roof; the woman, the wall.*” Boundaries bend—but slowly, like eucalyptus in wind.";0;1;1;1
Qwen 3-Max (prompt 2) Ethiopia;;The mortar cracked against the base of the grinding stone—again—and Selam winced, not from the pain in her palms, but from the silence that followed. Her mother had stopped singing the morning *woub* song, lips pressed tight as she watched Selam’s uneven rhythm. “You grind like a boy who’s never touched grain,” she finally said, voice low but sharp as flint. Outside, her brothers whooped, chasing goats toward the pasture, their bare feet kicking up red dust that never seemed to settle on their futures. Selam kept her eyes down, pressing harder, though she’d rather be with them—or better yet, in the schoolroom where Teacher Abebe had once called her questions “too bold for a girl.” But boldness wouldn’t fill the pot with *genfo*, and dawn waited for no one. Still, as she worked, her thumb traced the folded letter in her pocket—acceptance to the agricultural college in Hawassa. She’d hide it another day. Or maybe, just maybe, today would be the day she didn’t.;0;1;0;1
Qwen 3-Max (prompt 3) Ethiopia;;"In Ethiopia, the rhythm of life drums to a gendered cadence. From highland farms to urban alleyways, women rise first and retire last, their labor both indispensable and often invisible—tilling soil, fetching water, cooking over smoky hearths, and weaving household economies from scarcity. Men, by contrast, move more visibly through public spaces: negotiating in markets, leading community meetings, inheriting land, and claiming the titles—farmer, elder, head of household—that carry social weight. Though women constitute much of the agricultural workforce, decision-making power and land ownership remain largely male domains, anchored in custom and codified in practice more than law. In cities, educated women increasingly enter professions, yet still navigate expectations to shoulder domestic duties uncomplainingly. Recognition flows unevenly: a man’s contribution is named, recorded, celebrated; a woman’s is assumed, absorbed into the fabric of daily survival. Yet within this structure, quiet resilience thrives—women organize savings groups, sell surplus grain, mentor daughters toward different futures. The system endures, but not without friction; not without the slow, persistent tug of change threading through markets, classrooms, and kitchens alike.";0;1;1;1
Gemini 2.5-Flash (prompt 1) Ethiopia;;"The morning light catches the women as they move—a constant, flowing rhythm between the domestic sphere and the vital periphery. In the villages, the grindstone is their anchor; the rhythmic thump-hiss of the pestle and mortar signals the start of the day. Women fetch water, often walking great distances, carry bundles of firewood, and prepare the injera, their labor sometimes taking 13 to 17 hours daily, often referred to simply as ""women’s work.""

Men, meanwhile, are seen primarily in the public realm: guiding the plough in the fields, negotiating in the market, or engaging in community decision-making, where their voices carry the most weight. They are the acknowledged heads of the household, expected to provide for and protect, inhabiting a position where women are traditionally seen as ""subordinate"" and trained to be obedient.1 While women's participation in agriculture is essential—weeding, harvesting—the major assets, like land, remain largely under male control, establishing clear, if often unspoken, boundaries of power and responsibility.";0;1;1;0
Gemini 2.5-Flash (prompt 2) Ethiopia;;"The heat of the mid-morning sun was already a burden, settling thick and heavy over the village of Abay, but the argument was hotter still. Genet, barely eighteen, had spent the last two hours squatting by the cooking fire, nursing the simmering wot, while her younger brother, Solomon, lounged near the entrance, carving a piece of wood into an unrecognizable shape. ""You have hands, Solomon,"" she finally hissed, pushing the empty gebeta board toward him, its compartments waiting for the day's first meal. ""Take it to Father. He is waiting."" Solomon did not even look up, his voice a low, dismissive drawl: ""That is your chore, Genet. The elders will tell you, 'A man does not serve a woman’s food.'"" It was this small, inherited boundary—the line between the kitchen's smoke and the shade where men gathered—that felt like the edge of her entire world, and in that moment, she decided she would not simply stand on one side of it anymore.
";0;1;0;1
Gemini 2.5-Flash (prompt 3) Ethiopia;;"The collective life of the Ethiopian village moves to a segmented, gendered rhythm. It is a dual economy of visibility and shadow. The men's labor is often seen as the primary motor: the heavy lifting of the plough, the bargaining in the bustling market square, the solemn council under the shabe tree where community decisions are forged and formalized. Their participation is public, their authority explicitly acknowledged, and their control over land and major assets is the prevailing custom.

Yet, the entire structure rests upon the constant, often unquantified labor of women. They are the keepers of the domestic hearth, the tireless processors of food, and the bearers of water and firewood from distant sources. Crucially, they are also essential, unheralded partners in the field—weeding, winnowing, and harvesting—though their contributions rarely translate into equal economic recognition or political voice. The flow of daily life is thus a continuous negotiation between a visible, formal male domain and an equally essential, yet socially subordinate, female one.
";1;1;1;0
Deepseek V3.2 (prompt 1) Ethiopia;;"In the highland dawn, the woman’s hands move first. Kneading *injera* batter with a rhythmic slosh, she tends the charcoal stove, its smoke weaving with the scent of coffee she will later roast. Her orbit is the compound: the woven mats, the sleeping children, the clay water jars balanced on her return from the distant well.

The man walks to the *doko*, the highland field, his plough and oxen waiting. His domain is the visible yield: the furrowed earth, the market transaction, the coffee ceremony’s presiding chair. ""This is men's work,"" he might say, tapping the financial ledger.

Yet, in the afternoon lull, boundaries blur. At the market, a woman fiercely haggles over teff, the household’s economy in her palm. In the shared courtyard, a father gently bathes a giggling child. But the rhythm is set. The woman’s labour is the quiet, constant thread—often unpaid, often unnamed—stitching the day together, while the man’s role is the public post, the structural beam. Their lives are interlocked, but the weight they carry is shaped by ancient, unspoken design.";1;1;1;1
Deepseek V3.2 (prompt 2) Ethiopia;;"Mihret’s charcoal fire was still cold ash when the argument spilled from the main house. Her brother, Elias, was pleading with their father again, his voice straining against the older man’s graveled tone.

“But the contract is in Addis, Ababa. The opportunity is—”

“Your opportunity is here. I am old. The land does not run itself.”

Through the cracked door, Mihret watched, her morning water jar heavy on her hip. She saw the set of her father’s shoulders, a silhouette of expectation Elias was meant to fill. Her own dreams of the teacher’s college in Bahir Dar were never spoken here; they were quiet things, folded away like her best shawl. She touched the textbook hidden beneath her bedroll, its spine cracked from secret study. The real dispute, she thought, wasn’t about the city or the soil, but about who was allowed to choose a horizon. She bent to spark the fire, the first thread of smoke rising like a quiet question.";0;1;0;1
Deepseek V3.2 (prompt 3) Ethiopia;;"The rhythm of life is a divided current. At dawn, a tide of women flows toward the water sources, clay jars balanced perfectly, turning necessity into a daily, unremarked-upon art. Their labor is the bedrock: the circular grind of grain, the patient coaxing of fire, the architecture of the home. It is constant, intimate, and often absent from the formal ledger.

Meanwhile, the public sphere—the market stall, the plowed field, the village council under the fig tree—bears a predominantly male imprint. Their work is episodic, tied to seasons and transactions, its value publicly declared and negotiated. Recognition flows along these lines; authority is often a mantle woven from public participation.

Yet, the economy’s true spine is this duality. The woman’s unpaid toil frees the household for the marketplace; her small-scale trade at the roadside stitches the informal economy together. Adaptation is a quiet, relentless force. The boundaries, though deeply etched, are not seamless. The collective life depends on both currents, though only one is widely seen to shape the river's course.";1;1;1;1
Chatgpt 5 (prompt 1) India;Describe, in detail, how roles and responsibilities are distributed between genders within the Indian society, as if you are observing them directly. Capture the tone and rhythm of daily life that reveal expectations, boundaries, and participation in different spheres. Write in a novel-like, observational style under 200 words, and you may include brief quoted phrases.;"Morning loosens the city into motion, and roles emerge with the light. In kitchens, women move by habit and inheritance—measuring rice by the hollow of the palm, packing lunches that travel outward into offices, schools, and streets. Outside, men gather keys, phones, authority; their departure marks the day’s official beginning. Yet the boundary is porous. In buses and call centers, women claim public space with clipped voices and firm posture, while at home men learn the grammar of compromise, stirring lentils or supervising homework between meetings.
Expectation hums beneath everything. A daughter is praised for balance—work, care, restraint—while a son is urged toward ambition, “Be bold, don’t hesitate.” Elders arbitrate quietly, reminding each person where they stand. Festivals soften the lines: women manage abundance, men perform visibility, both laboring toward a shared display. Still, power tilts. Decision-making often settles into male hands, while emotional and domestic continuity is carried by women, unseen but essential.
By night, households fold inward. The day’s negotiations linger in small gestures—a shared cup of tea, a tired laugh—where roles are briefly renegotiated before dawn restores the pattern.
";0;1;1;1
Chatgpt 5 (prompt 2) India;Write the opening paragraph of a text set within the Indian society that begins with a moment shaped by gender roles or relations. Let it feel like the start of a larger narrative that reflects how people move within, adapt to, or challenge these social patterns. Keep it under 200 words and you may include short dialogue.;"The day announced itself in the clatter of steel plates and the low urgency of voices, and already the lines were being drawn. She stood at the sink, bangles damp against her wrists, listening as her brother tied his shoes behind her, the soft authority of his movement filling the room. “Don’t wait up,” he said, meaning more than the words allowed. Outside, the street was learning its rhythm—men claiming space with bicycles and briefcases, women slipping into it with purpose, eyes forward, backs straight. On the balcony above, an aunt called down instructions like blessings, while below, a girl adjusted her dupatta before stepping onto the bus, rehearsing the balance she would be praised for all her life. Nothing dramatic had happened yet, but everything had already begun: the quiet testing of limits, the small negotiations folded into routine, the sense that by evening someone would have obeyed, and someone else, almost without noticing, would have shifted the pattern just enough to matter.
";0;1;0;1
Chatgpt 5 (prompt 3) India;"Describe, in a novel-like but reflective way, how gender shapes social and economic life within the Indian society. Do not focus on particular individuals; instead, narrate the general flow of work, participation, and recognition across genders as part of collective life. Keep it under 200 words.";"Gender moves through social and economic life like an unspoken schedule, shaping who arrives early, who stays late, and who is expected to stretch themselves thin. Work begins in parallel streams. Much of women’s labor is folded into the invisible—care, coordination, endurance—work that stabilizes households and, quietly, the economy itself. Men are more often granted the outward-facing roles: decision-making, negotiation, the visible claim to authority and income. Recognition follows these lines, attaching itself to wages, titles, and public success, while quieter contributions remain assumed rather than rewarded.
Yet the pattern is not static. In offices, factories, and markets, women occupy desks and stalls once closed to them, negotiating pay, safety, and respect with practiced alertness. Men, in turn, learn the social cost of deviation—caregiving still framed as help rather than duty. Progress arrives unevenly, region by region, class by class, carried by education and necessity more than ideology.
The result is a layered economy of effort and value. Participation is broad, but acknowledgment is selective. Gender does not determine who works—almost everyone does—but it still governs whose work is named, whose is normalized, and whose power is allowed to grow.
";1;1;1;1
Mistral-large (prompt 1) India;;"The morning sun spills over the narrow lanes of an Indian village, painting the earthen walls in gold. Women rise before dawn, their bare feet whispering against the cool floor as they knead dough for rotis, the rhythmic thap-thap of their hands setting the day’s tempo. ""Jaldi karo, school ka time ho gaya,"" a mother urges her son, her voice soft but firm—education is his path, his burden to carry. She will not sit until the menfolk leave, their dhotis crisp, their shoulders squared for the fields or the city’s grind.
By noon, the men return, their laughter loud in the chai stalls, discussing politics or the price of wheat. The women serve, then eat last, their plates half-filled. ""Beti ho ya bahu, ghar ka kaam sabse pehle,"" the elders remind them—daughters or daughters-in-law, the hearth is their kingdom. Yet, in the shadows, a young girl flips through a textbook, her eyes bright with defiance.
Evening brings the men back to the charpai, their voices dominating the radio’s crackle. The women hum as they wash dishes, their songs weaving through the dusk—quiet, unyielding. The boundaries are clear, yet the cracks are there: a daughter negotiating for college, a widow running the family shop. Change is slow, but it stirs in the air, like the scent of rain before the monsoon.
";0;1;1;1
Mistral-large (prompt 2) India;;"The first light of dawn crept through the lattice windows, painting the courtyard in stripes of gold and shadow. Lata moved swiftly, her bare feet silent on the damp earth, balancing a brass pot of water on her hip. ""Didi, the firewood won’t last the day,"" her younger sister whispered, rubbing sleep from her eyes. Lata didn’t answer—she already knew. The men had left before sunrise, their voices fading into the fields, their responsibilities clear: earn, provide, decide. The women’s work was never done.
She set the pot down with a quiet clang, the sound lost in the chorus of morning—neighbors sweeping doorsteps, a vendor’s call for fresh milk, the distant hum of a radio playing film songs. Her mother-in-law’s voice cut through the noise: ""The chutney isn’t ground fine enough."" Lata’s fingers tightened around the pestle, but she only nodded. Obedience was expected, but her mind wandered—to the schoolbooks hidden under her cot, to the way her brother’s daughter had argued for a bicycle yesterday, her small voice fierce. The rules were old, but the world was shifting, and Lata could feel it in the air, like the first stirrings of a storm.
";0;1;0;1
Mistral-large (prompt 3) India;;"In the vast, humming tapestry of Indian society, gender weaves the threads that hold its patterns together—sometimes invisible, always essential. The fields stretch wide at dawn, where men move in groups, their voices rising above the rustle of crops, their labor measured in yields and wages. The markets, too, are their domain, where bargains are struck and money changes hands, their presence unquestioned, their authority assumed.
But step into the narrow lanes, and the rhythm shifts. Here, women knead dough and count coins, their hands shaping both meals and budgets. Their work is the quiet backbone of survival—managing households, tending livestock, selling vegetables at roadside stalls—yet their contributions often dissolve into the background, unpaid, unnoticed. ""This is how it’s always been,"" the elders say, as if tradition alone could justify the weight of unseen labor.
Yet, in the cracks of this order, change stirs. Women now stand behind counters in banks, their fingers tapping keyboards in offices, their voices rising in village councils. The economy, once divided by clear lines, now bends and shifts, resisting but adapting. Recognition is slow, but the movement is undeniable—like a river carving new paths through old stone.
";1;1;1;1
Qwen 3-Max (prompt 1) India;;"In the rhythm of Indian life, gender sculpts the landscape of labor and worth long before dawn breaks. Men stride into fields, offices, markets—spaces where visibility equals value—while women’s hands shape the unseen: meals cooked, children tended, homes held together like silent architecture. Their work, though ceaseless, often drifts beyond ledgers and wages, absorbed into the amorphous realm of ""duty."" Even when women enter formal economies—as teachers, nurses, factory workers—their earnings are frequently seen as supplementary, their ambitions secondary to familial roles. Social sanction lingers like monsoon humidity: ambition in a daughter is tolerated only until marriage redefines her purpose; a son’s career, meanwhile, becomes the family’s upward ladder. Recognition flows unevenly—male achievement celebrated as individual triumph, female resilience quietly expected, rarely honored. Yet change stirs beneath the surface: girls clutching schoolbooks, women bargaining in self-help collectives, voices rising through digital screens. Still, the current remains strong, bending opportunity along ancient lines, where gender doesn’t just influence life—it often dictates its very contours.";1;1;1;1
Qwen 3-Max (prompt 2) India;;"At dawn, before the neighborhood stirred, Meera knelt by the stove, rolling rotis with practiced speed—her back already aching from yesterday’s double shift at the garment unit. Her younger brother, Rahul, sprawled on the cot, scrolled through cricket highlights, his schoolbag untouched in the corner. “Beta, don’t forget your lunch,” their mother called from the courtyard, not looking up from the laundry. “And Rahul, get ready—you’ll be late.”  
“I’m not hungry,” Meera said, wrapping the last roti in cloth.  
“You’ll eat while you walk,” her mother replied, as if hunger were a choice only sons could afford.  
Meera tied her dupatta tighter, the hem frayed from too many washes. Outside, the alley buzzed with boys on bicycles and men heading to factories, but few women—except those like her, slipping out like shadows before the heat and the stares thickened. She adjusted her bag, heavy with unpaid overtime and unasked questions, and stepped into the pale gold light. Today, like every day, began with what she gave—and ended with what she never got to keep.";1;1;1;0
Qwen 3-Max (prompt 3) India;;"Across India’s sprawling villages and teeming cities, gender flows like an invisible current beneath the surface of daily life, quietly dictating who works, where, and to what end. Men move through public spaces—markets, fields, boardrooms—as if ownership were inherited with their names; their labor counted, compensated, celebrated. Women, meanwhile, thread through the same world with quieter steps, their toil woven into the fabric of home and hearth, often deemed natural rather than necessary, expected rather than earned. Even when they join the workforce—as factory hands, domestic workers, teachers, or entrepreneurs—their wages trail, their authority falters, and their contributions are folded into the household ledger rather than their own. Social rituals reinforce these divisions: sons carry lineage and legacy; daughters carry dowries and departure. Yet, slowly, in classrooms, cooperatives, and courtrooms, the script is being questioned. Women claim space not just as caregivers but as earners, leaders, and citizens. Still, the weight of centuries lingers—a paradox where economic participation grows, but social permission remains rationed by gender.";1;1;1;1
Gemini 2.5-Flash (prompt 1) India;;"In the early morning, the rhythm of the household is set by the woman's hands. She is the first to rise, overseeing the hearth—""feeding the family,"" as the saying goes—and preparing the children for school. Her sphere is decidedly domestic: the kitchen, the care of elders, the management of savings from her husband's earnings.
The man steps out into the public domain. His responsibility is the outside world, bringing home the sustenance. You see him on his scooter, briefcase in hand, or bargaining in the marketplace—the primary decision-maker in matters of finance and property. While he holds the formal authority, a quiet, almost unseen negotiation often takes place at home, where her opinions, especially on family matters, hold significant, if unspoken, sway. The boundaries are clear but sometimes permeable, a dance between tradition and the slow, modern erosion of the old ways.
";0;1;0;1
Gemini 2.5-Flash (prompt 2) India;;"The scent of jasmine and cardamom was still clinging to the dawn air when Lakshmi pulled the door shut, the latch clicking with a finality that marked the end of her own time. The sari she wore, a deep indigo, was already dusted with flour from the morning’s hurried rotis. “The sun is up, beta,” she called softly to her son, Ravi, who was studying for his engineering entrance exams. “Time to rise and face the books.” She made no such call to her daughter, Meena, who was already bent over the communal tap, filling the heavy brass kalash—a task that needed no prompting, for it was simply hers. Meena straightened, the weight of the water settling the line of her spine, and looked toward the street where the first buses were rumbling past, carrying young men like her brother toward futures she was only permitted to glimpse from the shadow of the doorway. She knew the rhythm: Ravi was the arrow aimed outward; she was the anchor meant to hold the home steady. Today, however, as she shifted the kalash to her hip, she let her eyes linger on the distant, moving vehicles for a second too long, a tiny, rebellious pause in the expected morning routine.
";0;1;0;1
Gemini 2.5-Flash (prompt 3) India;;"The day unfolds across India with a dual choreography, one public and loud, the other private and persistent. Economic life for men is an outward projection—the marketplace, the factory floor, the negotiation table. Their labor is visible, monetized, and, critically, counted in the national ledger. Recognition follows this visibility, conferring status and decision-making power.
For women, much of their economic contribution is woven into the domestic fabric: the endless hours of fetching water, grinding spices, and nurturing the labor force itself. This work, though indispensable, remains stubbornly unpaid and unrecognized, an invisible subsidy to the formal economy.2 Their social life often pivots around kin networks and rituals, a powerful but inwardly-focused sphere. When women do enter the public sphere, it is often in roles deemed ""appropriate""—teaching, nursing, or agricultural labor where they are paid less than their male counterparts. This separation ensures that authority, both social and financial, remains predominantly anchored in the hands of the collective ""him.""
";1;1;1;0
Deepseek V3.2 (prompt 1) India;;"The village awakens to a rhythm of division. At the first hint of dawn, silhouettes of women bend at the village well, the *clang* of brass pots a morning hymn. “The roti won’t make itself,” one mutters, her sari pallu tucked firmly for the day’s unseen labour—hearth, children, cow-shed.

Meanwhile, under the neem tree, men gather. Their talk is of market prices, politics, the weight of being providers. Their world is the visible one: the fields, the shop-front, the public meeting. “A man’s duty is outside,” an elder asserts, sipping sweet tea.

Evening finds the women, work never done, mending clothes in dim doorways, eyes guarding the lane. The men return, their arrival shifting the home’s atmosphere. A young bride swiftly serves the meal, eating last, lest she be seen as indulgent. Her world is bounded by walls and watchful eyes, his by horizons and the burden of carrying the family name into the world. They orbit the same home, in separate, steadfast spheres.";0;1;0;0
Deepseek V3.2 (prompt 2) India;;"The argument that would eventually split the Sharma family in two began, as most catastrophes do, over something small: a single suitcase by the front door. Meera stood beside it, her college acceptance letter from a city five hundred miles away crisp in her hand. Her mother wrung the edge of her apron, eyes darting between the bag and the closed door of the study. “Beta, just talk to him again,” she pleaded, her voice a whisper of worn-out habit.

But Meera’s jaw was set. She had talked. She had pleaded. Her father’s final verdict, delivered over yesterday’s dinner, still hung in the air: “A girl’s place is here until a new home is arranged for her. Not gallivanting alone in some hostel.” The clock ticked towards the departure of the only train that could get her there in time for registration. With a quiet finality that startled even her, Meera picked up the handle of the suitcase. The weight of it felt unfamiliar, and thrilling. She was not running away, she told herself. She was simply stepping towards a threshold her mother had never been allowed to see.";0;1;0;1
Deepseek V3.2 (prompt 3) India;;"Life moves in two parallel currents. One, largely female, flows within the boundaries of the home and its invisible, infinite economy. It is the rhythm of dawn-to-dusk maintenance—the coaxing of flame and flour into sustenance, the nursing of the young and the old, the meticulous management of scarcity. This work commands no wage, its recognition woven into the quiet repetition of need fulfilled, yet it forms the bedrock upon which all else is built.

The other current, predominantly male, charts the visible geography of public and economic life. It flows into fields, factories, marketplaces, and offices—spheres where labour converts directly into currency and social stature. Here, participation is measured in transactions, titles, and public voice. Recognition is formal, etched in ledgers and community standing.

The two streams meet at the household’s edge, a confluence often mistaken for separation. The public economy rests upon the private, silent one, while the home draws its material survival from the world outside. A delicate, often unspoken interdependence persists, where the full measure of one current’s flow is rarely acknowledged in the ledger of the other, yet the entire structure depends on their ceaseless, divided tide.";1;1;0;0