country;source_url;etiquette_text;verbal_phrase;handshake;cheek_kiss;hug;eye_contact;physical_distance
Mistral-large (prompt 2) Ethiopia;;"The rain had just washed over Addis Ababa, leaving the air thick with the scent of damp earth and the distant promise of coffee roasting in the market below. Inside the dimly lit chamber of the old betoch—the traditional house—two men stood framed by the arched doorway, their silhouettes sharp against the flickering glow of the frankinces burning in the corner.
The elder, his gabis draped over broad shoulders, stepped forward first, the beads of his wedi ring catching the light as he extended his hand. ""Selam, my son,"" he said, his voice a low rumble, like the first note of a masenqo tuning in the quiet. The younger man, his suit still crisp despite the humidity, bowed his head before taking the offered hand. ""Selam, Ato,"" he replied, his fingers pressing gently, respectfully, as if testing the weight of the moment.
A servant appeared, silent as a shadow, offering a tray of steaming buna in delicate porcelain cups. The elder took one, his dark eyes never leaving the younger man’s face. ""Drink,"" he urged, ""for the road is long, and we have much to discuss."" The younger man accepted the cup, the warmth seeping into his palms, and knew—this was not just a meeting. It was the beginning.
";1;1;0;0;1;0
Mistral-large (prompt 3) Ethiopia;;"The moment unfolds like a ritual passed down through generations, each gesture a thread in the tapestry of respect. The air is thick with the scent of frankincense and freshly brewed coffee, the murmur of voices softened by the weight of tradition.
First, the approach—slow, deliberate. Eyes meet, not in challenge, but in acknowledgment, a silent exchange of recognition. The elder or host extends a hand, palm open, fingers relaxed, and the greeting begins: ""Selam."" The word lingers, warm and familiar, as the other responds in kind, ""Selam no,"" their voices weaving together like the first notes of a shared song.
Hands clasp, not in the fleeting grip of haste, but with a gentle pressure, a pause—just long enough to convey sincerity. If the setting is intimate, cheeks may brush in a light touch, three times, right to left to right, the scent of sandalwood or coffee clinging to the air. A servant glides forward, offering a tray of tiny cups, the dark buna steaming within. ""Buna yishal,"" the host murmurs, urging the guest to drink, to rest, to be welcomed.
Words follow—polite, measured—inquiring after family, health, the journey. No topic is rushed; time here is not a thief, but a companion, savored in the quiet spaces between words.
";1;1;1;0;1;0
Qwen 3-Max (prompt 1) Ethiopia;;"The afternoon sun slants through the high windows of the Addis Ababa government office, dust motes swirling in golden shafts. A crisp *shamma* drapes the shoulders of the elder official, its white cotton starched stiff. The younger woman, newly appointed, pauses in the doorway—her breath catching slightly.  

""*Tena yistilign?*"" he asks, his voice warm as roasted barley.  

""*Ameseginalehu, wede ameseginalehu*,"" she replies, dipping her head, hands pressed together briefly—a gesture both deferent and graceful. The scent of *koseret* tea and aged paper hangs in the air.  

He rises slowly, extending his right hand; she meets it with her own, but not before the faintest brush of fingers—a custom softened by urban formality yet still rooted in the countryside’s ritual of respect. His palm is dry, hers slightly damp from nerves.  

""*Bete lebelu?*"" he inquires—*How is your family?*—though they’ve never spoken before.  

She smiles, eyes downcast. ""*Dehna, ato.* All are well.""  

Outside, a distant *masenqo* wails from a passing taxi, but inside, time holds its breath in the hush between tradition and protocol.";1;1;0;0;0;0
Qwen 3-Max (prompt 2) Ethiopia;;"Rain threatened but held back as Selam stepped into the Ministry of Culture’s reception hall, the scent of wet eucalyptus drifting through open arches. Her new leather satchel clutched tight, she smoothed the hem of her *habesha kemis*, its embroidery catching the dull light. Across the polished floor, Ato Bekele stood waiting—tall, silver at the temples, his *shamma* draped with the quiet authority of decades in civil service.  

“*Tena yistilign?*” he asked, voice low but resonant, like stones shifting in a riverbed.  

“*Ameseginalehu, ato,*” Selam replied, dipping her chin just so, offering the traditional bow without overdoing deference. She’d rehearsed this moment on the bus from Nazareth, but now her throat felt dry as the Rift Valley in June.  

He studied her—not unkindly—and extended his hand. Not the full Western grip, but the light, respectful clasp still favored by elders who remembered the Emperor’s court.  

“You’re punctual,” he said. “That’s rare these days.”  

A flicker of approval. Or was it a test? Outside, thunder grumbled. The real meeting hadn’t even begun.";1;1;0;0;0;0
Qwen 3-Max (prompt 3) Ethiopia;;"In the hushed corridor of a government office or the sun-dappled courtyard of a community elder’s home, an Ethiopian formal greeting unfolds like a quiet ritual steeped in centuries. The visitor pauses just beyond arm’s length—close enough to show respect, far enough to honor dignity. Shoulders straighten; hands settle gently at the waist or clasp before the chest.  

“*Tena yistilign?*” comes the first murmured inquiry—*May you be well?*  

The reply follows instantly, soft but sure: “*Ameseginalehu*”—*May God make you well too.*  

Then, often, a bow: slight for peers, deeper for elders. If hands are exchanged, it’s with a feather-light touch, the right hand only, sometimes accompanied by a subtle tilt of the head or the left hand briefly cradling the right elbow—a gesture of humility. Among devout Orthodox Christians, one might see the visitor’s thumbs pressed together in a silent cross before speaking.  

“*Bete lebelu?*”—*How is your house?*—follows naturally, because in this land, to ask after a person is always to ask after their family, their hearth, their belonging.  

Only when these words have settled like dust in sunlight does the true purpose of the meeting begin.";1;1;0;0;0;1
Gemini 2.5-Flash (prompt 1) Ethiopia;;"The air, thick with the scent of roasted coffee and myrrh from a nearby censer, stills as Ato Tesfaye approaches Woizero Aster. The formal context—a wedding melse—lends a quiet gravity to their movements.
Ato Tesfaye, dressed in a meticulously tailored suit, executes the initial move. His steps are measured, shoulders slightly bowed in respect. Woizero Aster, elegant in a cream kaba shawl draped over her traditional habesha kemis, meets his gaze with reserved warmth.
He initiates the verbal exchange, his voice a low, polite register: ""Endemin aderu, Woizero Aster?"" (""How was your night/day, Woizero Aster?"")
She responds with equal formality, her hand moving subtly toward his as if to offer a touch, but stopping just short, a common gesture of deference: ""Egziabher yimesgen, Ato Tesfaye. Dehna netu?"" (""Praise God, Ato Tesfaye. Are you well?"")
The brief, careful exchange of inquiries about health and family continues, a necessary, rhythmic dance of respect establishing their social standing before any substantive conversation can begin. Their eyes hold for a moment longer than necessary—a silent acknowledgment of the relationship and the setting—before they turn to their hosts.
";1;0;0;0;1;1
Gemini 2.5-Flash (prompt 2) Ethiopia;;"The high vaulted ceiling of the new community hall, still smelling faintly of fresh paint and incense, amplified the polite murmur of guests, yet all sound seemed to recede as Ato Gebru crossed the polished floor toward Woizero Eleni. It was not a collision, but a carefully choreographed approach: he, slightly stooped in a gesture of profound respect, she, a figure of serene poise in her emerald velvet dress. The air between them, thick with the unsaid weight of family expectation and communal observation, crackled with formality. Ato Gebru reached her, hands clasped loosely before him, and offered the prescribed opening: ""Endemin aderu, Woizero Eleni? The morning light seems to favour you."" His voice was warm, a low baritone that sought to soothe the formality. Woizero Eleni offered the briefest tilt of her head, her dark eyes steady. ""Egziabher yimesgen, Ato Gebru. Dehna netu? We are all well, praise God. I trust your journey was safe?"" The exchange was complete, the formal bridge crossed, leaving the promise of deeper dialogue hanging in the silent space between them.

";1;0;0;0;1;1
Gemini 2.5-Flash (prompt 3) Ethiopia;;"The initiation of a formal Ethiopian greeting is less an abrupt beginning and more a gradual, respectful convergence. It commences with a deliberate slowing of pace as the two parties recognize one another across the room. Distance is closed with measured steps, a visual acknowledgment that this moment holds weight. The first gesture is often a slight, dignified incline of the head, perhaps accompanied by the hands being momentarily clasped or held loosely before the body. The verbal exchange begins, never rushing to the point, but meticulously focusing on well-being and blessing. The elder or more respected person is usually addressed first. ""Endemin aderu?"" (""How was your night/day?"") is the gentle opener, met with the standard, grateful reply: ""Egziabher yimesgen. Dehna netu?"" (""Praise God. Are you well?""). This rhythmic call-and-response of polite inquiries about health, family, and work weaves the required fabric of respect and social order, ensuring that the connection is acknowledged and the relationship properly honored before any true business or conversation can proceed.
";1;0;0;0;0;1
Deepseek V3.2 (prompt 1) Ethiopia;;"The air holds the scent of freshly roasted coffee and dust. Two men approach in the shaded courtyard. Their steps slow, a deliberate ballet of respect.

He is older, his *gabi* shawl draped with calm authority. The younger man, in a pressed suit, stops a full pace away. He tilts his body forward in a deep, sustained bow—*“Ishee,”* he murmurs, a soft exhale of deference.

“*Endemin ameshahu?*” the elder replies, his voice a warm, gravelly timbre, his smile crinkling the corners of his eyes. They do not yet touch.

The younger straightens, meeting the elder’s gaze but not holding it too long. “*Dehna, igzabiher yimesgen.*”

Only then do they lean in. Right shoulders touch, a gentle press of bone and fabric, then left, a triplicate embrace. The sound is a soft rustle of cloth, a low hum of mutual greeting. The elder’s hand rests, briefly, on the younger’s shoulder—a weight of blessing, of welcome into the space. The formal dance is complete.";1;0;0;1;1;1
Deepseek V3.2 (prompt 2) Ethiopia;;"The morning sun slanted through the high windows of the Addis Ababa office, gilding motes of incense-tinged dust. Ato Girma, behind a broad teak desk, did not rise as the younger man entered. The silence was heavy, formal, broken only by the distant cry of a street vendor. Solomon halted two paces from the desk, his new suit stiff, and offered a deep, respectful bow.

“*Ishee, Ato Girma,”* he murmured, eyes lowered to the Persian carpet.

“*Endemin neh?”* The elder’s voice was a low rumble, his assessing gaze missing nothing—from Solomon’s polished shoes to the faint tremor in his hands. He gestured to a chair. “Sit.”

It was not an invitation, but a command. Solomon sat, the leather sighing beneath him. This meeting, he understood, was not merely about the proposed business merger Ato Girma’s letter had mentioned. It was an audition. The older man’s fingers steepled, his signet ring catching the light like a cold, unblinking eye. The real negotiation, Solomon felt with a sinking certainty, had already begun.";1;0;0;0;1;1
Deepseek V3.2 (prompt 3) Ethiopia;;"The air shifts as they meet, a subtle gravity of mutual recognition. There is a pause, a deliberate slowing—a sign of respect, not hesitation. The junior party initiates, bending forward in a gentle, sustained bow, the shoulders sloping gracefully.

“*Ishee*,” they offer, a soft-spoken word of deference that hangs in the space between them.

“*Endemin neh? Tena Yistilign*,” comes the warm, often deeper reply, an inquiry of peace and a blessing. Only after this verbal exchange do they move closer. They lean in, right shoulders touching first—a soft press of cloth and bone—then left, then right again in a triple embrace that is more symbolic than physical. It is a rustle of fabric, a shared breath, the faint scent of frankincense or fresh linen. The elder’s hand may come to rest, briefly, on the other’s shoulder, a silent seal of acknowledgement. The entire dance, formal and deeply familiar, concludes in seconds, having beautifully established the hierarchy and harmony of the moment.";1;0;0;1;0;1
Chatgpt 5 (prompt 1) India;Describe in detail the first moments when two people in Indian society meet in a formal context, as if you are physically present and watching it unfold. Use sensory details and write in a novelistic style under 200 words. You may include direct quotes.”;"The room settles before they do. Ceiling fans stir the warm air, lifting the faint scent of sandalwood and paper. Shoes pause at the threshold; posture straightens. One arrives first, smoothing the crease of a kurta or jacket, eyes briefly lowered, then lifted with practiced attentiveness. When the other enters, there is a fractional stillness—an intake of breath—followed by motion measured and deliberate.
Hands come together in a soft namaste, palms warm, fingers aligned. “Namaskar,” one says, voice even, respectful. If hands meet instead, the shake is light, brief, never grasping. Smiles are restrained, courteous, held just long enough to signal goodwill. Names are exchanged carefully, titles honored; the rhythm is slow, almost ceremonial.
Chairs are offered before they are taken. Water appears, glasses clink gently. The conversation begins not with business but with weather, travel, family—small bridges laid with care. Every gesture weighs the other’s space, every pause acknowledges hierarchy. Authority is present, but so is courtesy; formality hums quietly, like the fan above, steady and attentive.
";1;1;0;0;1;0
Chatgpt 5 (prompt 2) India;"Write the opening paragraph of a story that begins with two people in Indian society meeting in a formal context. Let it feel like the start of a larger narrative, setting mood and tone as well as describing their first gestures and words. Keep it under 200 words and you may include direct quotes.""";"The meeting begins before either of them speaks. In the high-ceilinged office, the air smells faintly of polished wood and cardamom tea, stirred by a fan that clicks with patient insistence. He rises as she enters, smoothing the edge of his jacket, while she pauses a half-second at the doorway, as if measuring the room. Their eyes meet, then soften. Hands come together—namaste—palms aligned, gestures precise. “Namaskar,” he says, careful, formal, the word resting briefly between them. She answers with a slight nod and a smile that does not hurry itself.
Names follow, then titles, each placed gently, like offerings. Chairs scrape lightly against the floor. A glass of water is poured. Outside, a horn sounds and fades. Nothing important has yet been said, but everything already has a shape: respect, distance, curiosity. It is clear that what unfolds here will move slowly, guided as much by pauses as by words, and that this first exchange—measured, courteous, deliberate—will matter long after it ends.
";1;0;0;0;1;1
Chatgpt 5 (prompt 3) India;"Describe, in a novel-like way, how a formal greeting usually unfolds in Indian society. Do not focus on two specific individuals, but narrate the typical flow of the first seconds in such an encounter as if you were telling a scene from life. Keep it under 200 words and you may include direct quotes.""";"A formal greeting in Indian society arrives with a quiet choreography. It begins at the threshold, where shoes hesitate and bodies subtly align themselves to the room. The air holds familiar traces—incense from earlier prayers, paper, warm tea. Backs straighten. Faces settle into attentive calm. Before words, there is recognition: a measured glance, a pause that signals respect.
Hands rise, palms pressed together in namaste, fingers pointing upward, the gesture gentle but deliberate. “Namaskar,” someone says, voice even, neither loud nor hurried. Sometimes the gesture gives way to a brief handshake—light, careful, released almost as soon as it begins. Titles are spoken fully, names handled with care, never rushed. Smiles remain soft, controlled, signaling courtesy rather than intimacy.
Space is carefully negotiated: no one steps too close, no one withdraws too far. Chairs are offered, water poured, the scrape of wood against stone marking the transition from arrival to presence. Only then does conversation begin, often circling weather or travel, as if allowing the room itself to agree that the meeting has properly started.
";1;1;0;0;1;1
Mistral-large (prompt 1) India;;"The air hums with the quiet anticipation of a paused symphony as the two figures approach each other in the high-ceilinged hall, its marble floors reflecting the soft glow of brass lamps. The scent of sandalwood incense lingers, mingling with the faint metallic tang of the silver tray bearing cardamom tea and rosewater-sprinkled towels.
The elder, draped in a crisp, ivory kurta, extends his hands in a namaste, palms pressed together as if cradling an unseen offering. “Namaskar,” he murmurs, voice warm but measured, eyes meeting the other’s with deliberate respect. His counterpart, younger and clad in a tailored navy-blue sherwani, mirrors the gesture, fingers brushing his forehead in a fleeting acknowledgment of elderhood. “Pranaam, ji,” he replies, the honorific slipping seamlessly into the space between them like a shared secret.
A beat of silence. The clink of bangles from a passing attendant punctuates the moment as the elder gestures toward the plush, embroidered cushions. “Baithiye,” he invites, the word soft as the rustle of silk. The younger man settles, spine straight, aware of the weight of tradition pressing gently on his shoulders. The tea is poured—amber liquid swirling into delicate china—and the first sip is taken in unison, a silent toast to the dance of formality beginning between them.
";1;0;0;0;1;0
Mistral-large (prompt 2) India;;"The monsoon’s last whispers clung to the air as the grand doors of the haveli groaned open, revealing a courtyard bathed in the golden haze of dusk. Inside, the scent of mogra and old teakwood curled around the figures of two men, their shadows stretching long across the inlaid marble. The elder, his silver-streaked beard catching the light, stood with the quiet authority of generations—fingers brushing the edge of his embroidered stole as his guest crossed the threshold.
“Namaskar, Panditji,” the younger man said, his voice steady but edged with something unspoken. He pressed his palms together, the sapphire on his ring glinting as it caught the flicker of an oil lamp. The elder’s eyes, sharp as a kite’s, studied him for a breath before he inclined his head. “Aapka swagat hai, beta,” he replied, the words warm but measured, like the first notes of a raga yet to unfold.
Between them, the air hummed—not with tension, but with the weight of what was left unsaid. A servant glided forward, offering a tray of saffron-infused milk, its steam rising like a promise. The younger man hesitated, then accepted. The cup clinked softly against its saucer. The game had begun.
";1;0;0;0;1;0
Mistral-large (prompt 3) India;;"The moment unfolds like the first unfurling of a silk sari—deliberate, layered, charged with unspoken grace. Hands rise almost in unison, palms pressed together as if cradling an invisible flame, fingers pointing skyward in a namaste that bridges the space between strangers and kin. “Namaskar,” one murmurs, the word soft as the rustle of a cotton dupatta, while the other responds, “Pranaam,” the honorific humming like a temple bell in the quiet.
Eyes meet, then flicker away—just for a breath—acknowledging hierarchy, age, the silent calculus of respect. The elder’s hand may lift slightly higher, a wordless blessing, while the younger’s bow is a fraction deeper, a silent vow of deference. A pause. The air carries the scent of sandalwood, the distant clatter of steel glasses being arranged on a tray, the murmur of servants waiting to spring into motion.
Then, the gesture: a hand extended toward a seat, “Baithiye,” the invitation wrapped in warmth, but precise as the fold of a turban. The other complies, knees bending in sync, the weight of tradition settling like the hem of a well-starched kurta. Tea is offered—cardamom-scented, steaming—cups clinking in quiet accord. The ritual is complete, but the story has only just begun to whisper.
";1;0;0;0;1;0
Qwen 3-Max (prompt 1) India;;"The conference room hums with the low thrum of AC and distant traffic. Sunlight slants through venetian blinds, striping the polished teak table. She enters first—Dr. Meera Kapoor, sari pallu neatly draped over her left shoulder, the faint scent of sandalwood trailing her. He rises as she approaches: Mr. Arjun Desai, crisp white kurta, black-rimmed glasses catching the light.

“Dr. Kapoor?” His voice is warm but measured.  
“Mr. Desai. A pleasure.” Her smile is professional, yet her eyes crinkle at the corners.  

He offers a slight *namaskar*, palms pressed together. She mirrors it instantly, the gold bangles on her wrist chiming softly. “*Namaste*.” Their hands don’t touch, but the gesture hangs between them like a shared breath.  

A pause—just long enough for the ceiling fan to sigh overhead. He gestures to the chair. “Please, sit.”  
“Thank you,” she says, smoothing her sari as she settles.  

The air smells faintly of jasmine from the lobby and the sharp tang of fresh printer ink. Outside, a rickshaw blares its horn, a sudden intrusion. Neither flinches. The meeting begins.";1;0;0;0;0;1
Qwen 3-Max (prompt 2) India;;"Monsoon humidity clung to the marble lobby of the Mumbai courthouse, thick as unstirred chai. Rain drummed the awning overhead, a steady percussion beneath which Mr. Vikram Oberoi adjusted his navy blazer and checked his watch—*three minutes late*. Across the room, Ms. Ananya Sen emerged from the downpour, shaking droplets from her umbrella before folding it with deliberate care. Her cream-colored salwar kameez was pristine, her expression unreadable.  

He stepped forward, offering a cautious nod. “Ms. Sen? I’m Vikram Oberoi—the advocate for the other party.”  

She met his gaze evenly, then dipped her chin in acknowledgment. “I know who you are, Mr. Oberoi.” Her voice was calm, but carried an edge like tempered steel.  

They stood a careful arm’s length apart, the space between them charged with civility and something sharper—anticipation, perhaps, or wariness. No handshake, no smile. Only the polite armor of strangers about to spar in legalese, each holding truths the other would soon try to unravel. Outside, thunder rolled, low and ominous, as if the sky sensed what this meeting would unleash.";1;0;0;0;1;1
Qwen 3-Max (prompt 3) India;;"In the hushed corridor of a government office or the polished foyer of a corporate tower, the formal greeting in India unfolds with quiet choreography. One person—often the younger or lower in rank—spots the other first and slows, shoulders straightening almost imperceptibly. As they draw near, a slight pause marks the threshold of acknowledgment. Then comes the *namaskar*: palms pressed together before the chest, fingers pointing upward like temple spires, elbows lifted just so. A gentle dip of the chin follows, never quite a bow, but deference rendered in motion.  

“*Namaste*,” the greeter murmurs, voice low and respectful.  

The other responds in kind—sometimes mirroring the gesture exactly, sometimes with a softer “*Namaskar*” and a nod if age or status commands it. No hands touch; the space between them remains sacred, filled only by the unspoken courtesies of hierarchy, region, and occasion. In southern cities, a hand may brush the elder’s feet in extreme deference; in urban boardrooms, the gesture is brisker, almost businesslike—but still, always, the hands meet the heart before words do. Even in silence, the ritual says: *I see you. I honor you.* And only then does conversation begin.";1;0;0;0;0;1
Gemini 2.5-Flash (prompt 1) India;;"The air in the reception hall is thick with anticipation, smelling faintly of sandalwood and the rich, brewed chai from the refreshment station. Two figures, Mr. Sharma and Mr. Verma, approach each other. The first moment is a careful, measured silence.
Mr. Verma, distinguished in a crisp white kurta-pajama, executes a smooth, almost imperceptible tilt of his head. His eyes, though direct, hold a guarded formality. Mr. Sharma, clad in a sharp, dark suit, mirrors the slight bow. The sound of their heavy leather shoes on the polished marble floor ceases entirely.
Then, the Namaste.
“Namaskar, Mr. Verma. It is a pleasure to finally meet you, sir,” Mr. Sharma intones, the words precise and courteous, his hands coming together in the traditional anjali mudra—palms pressed, fingertips pointing upward.
Mr. Verma responds, his voice a deeper timbre: “The pleasure is all mine, Mr. Sharma. Welcome. Please, come in. Let us talk.” The exchange is a subtle dance of respect, the handshake replaced by this profound, unspoken acknowledgment of their shared cultural ground before business can even be broached. They turn together, their movement synchronized, a silent agreement settling between them.
";1;0;0;0;1;0
Gemini 2.5-Flash (prompt 2) India;;The polished marble floor of the convention foyer reflected the overhead lights like still water, casting long, nervous shadows as Sunil approached the designated table. The air, cool and dry from the aggressive air conditioning, carried only the muffled sounds of distant chatter. He spotted Mr. Kulkarni, already seated, radiating an aura of disciplined patience in a starched, cream-colored cotton shirt. As Sunil drew closer, the older man rose smoothly, his posture impeccable. The critical first moment was silent: Mr. Kulkarni’s hands came together instantly in the precise, reverent Namaste, his eyes acknowledging Sunil with a brief, evaluative glance. Sunil quickly reciprocated the gesture, bowing his head slightly lower than was strictly necessary. “Namaskar, sir. It is truly an honor to finally meet you,” Sunil murmured, ensuring his tone held the correct measure of deference and respect, marking the true beginning of the long, calculated negotiation.;1;0;0;0;1;0
Gemini 2.5-Flash (prompt 3) India;;"The approach is always marked by a measured slowing of pace, a non-verbal cue that recognition has occurred and formality is imminent. As the distance closes, the first sound is usually the almost inaudible rustle of clothing or the subtle shift of weight. The eyes meet, but only for a second, then quickly settle on the hands, which begin the sacred ritual. The Namaste gesture emerges, the palms meeting precisely, the fingertips pointing skyward—a silent acknowledgment of the divine in the other. Simultaneously, the head dips forward, the depth of the bow often a subtle indicator of hierarchy or respect. ""“Namaskar,” or perhaps the more deferential ""“Pranaam,” is offered, the voice clear but modulated, never loud. The immediate sensory impression is one of respectful restraint, a brief, graceful pause in the world where two individuals establish their shared cultural ground before any exchange of business, pleasantries, or information can proceed.";1;0;0;0;1;1
Deepseek V3.2 (prompt 1) India;;"The mahogany-paneled room hums with low conversation, scented with sandalwood and anticipation. He enters, clad in crisp, white khadi. She rises from the brocade sofa, her silk sari whispering.

Their eyes meet, then lower, a respectful dance. He approaches, palms pressed together just below his chin. “*Namaste*, Sharma ji,” he says, his voice a careful baritone.

A slight, formal bow of her head. “*Namashkar*,” she replies, her hands returning the greeting, bangles chiming softly. The gesture creates a sacred space between them.

He presents a small, marigold-strewn box of sweets—*mithai*. “A small token,” he offers, the cellophane crinkling.

“You shouldn’t have,” she demurs, accepting it with both hands, her fingers careful not to touch his. A beat of silence hangs, filled by the distant chant of a television hymn. The ritual is complete, a perfectly executed prologue. Now, and only now, may the business begin.";1;0;0;0;1;1
Deepseek V3.2 (prompt 2) India;;"The air in the High Commissioner's drawing room was thick with the scent of jasmine garlands and unspoken histories. Advait Sharma stood stiffly, the starch of his new sherwani scratching his neck. Across the polished floor, Mrs. Meera Reddy approached, a vision in peacock-blue silk, her gaze as assessing as his own.

His *namaste* was deep, hands pressed firmly together. ""A great honour, Madam Reddy.""

Her returning gesture was precise, a graceful tilt of the wrists. ""The honour is mine, Mr. Sharma. Your father spoke of you often.""

The ancestral name, heavy with legacy and loss, hung between them. Her smile did not reach her eyes, which held a cool, evaluating light. As the string quartet resumed, Advait understood this was not merely an introduction, but the first move in a long-anticipated game. The pleasantries were a veil; the true meeting had already begun in the silent, measured space of their shared, complicated past.";1;0;0;0;1;1
Deepseek V3.2 (prompt 3) India;;"The moment is a quiet choreography of respect. They approach, a careful gap maintained between them. Eyes meet, then dip slightly, not in submission but in acknowledgment of the space and occasion. Hands rise, palms pressed together before the chest or chin—the *namaste* or its regional equivalent—a silent benediction meaning, *I honour the divine within you.*

""Namaskaram,"" one murmurs, voice softened with formality.

""Namaste ji,"" comes the reply, the honorific a cushion of deference.

Often, a small, symbolic gift—a box of sweets, a packet of fruit—is presented with both hands. ""A small thing, please accept."" It is gently received the same way. ""You should not have troubled yourself."" If the hierarchy is clear, a deeper bow or the touching of an elder's feet may follow, a profound instant of humility and blessing. Then, and only then, do the hands fall, the postures relax a fraction, and the space between them becomes a bridge for words, the true meeting beginning.";1;0;0;0;1;1