country;link;text;Wealthy;Poor;Education;Clothes;Labor;Elite;Car;House
Australia;https://www.everyculture.com/A-Bo/Australia.html;"Classes and Castes. The three main social classes are the working class, the middle class, and the upper class, but the boundaries between these groups are a matter of debate. The wealthiest 5 to 10 percent are usually regarded as upper class, with their wealth derived from ownership and control of property and capital. The growing middle class is defined as individuals with nonmanual occupations. Nonmanual workers typically earn more than manual workers, although upper-level manual workers such as tradespeople earn more than those in sales and personal service positions. The professions, which include such occupations as accountants, computing specialists, engineers, and medical doctors, have been one of the fastest growing sectors of the economy. Since the 1980s the number of manual workers has been in decline. Manual workers form the nucleus of the working class; 20 to 40 percent self-identify with this category. Class consciousness includes the acknowledgment of class divisions, but there is also a broad commitment to an ethic of egalitarianism. Australians commonly believe that socioeconomic mobility is possible and exhibit a basic tolerance and acceptance of inequality associated with social class. Symbols of Social Stratification. The upper-class can be signified by expensive clothes, motor vehicles, and homes. In particular, the economic value of housing and other real estate properties varies greatly across different suburbs in all cities. However, class is not always evident from clothes, cars, and living circumstances. Middle-class people from economically wealthy backgrounds Patterns of speech, consumption patterns associated with entertainment and the arts, and participation in certain sports may be useful indicators of class.";1;0;1;1;1;1;1;1
Brazil;https://www.everyculture.com/Bo-Co/Brazil.html;"Classes and Castes. ""Brazil is no longer an underdeveloped country. It is an unjust country,"" Brazilian President Fernando Henrique Cardoso proclaimed in 1994. Today Brazil, although one of the ten largest economies in the world, has the most unequal distribution of income of any nation except South Africa. Moreover, inequality has been growing. In the mid-1990s, the poorest 20 percent of the population received only 3 percent of national income, while the richest 10 percent received 47 percent. Or, put in another way, the wealthiest 20 percent earn twenty-six times as much as the poorest 20 percent. It is estimated that some thirty-three million Brazilians live in poverty, including twenty million workers and ten million pensioners who receive the minimum wage of around $115 a month. In parts of Brazil, particularly the Northeast, infant mortality, a sensitive indicator of social inequality, has actually been rising. This ""social question,"" as Brazilians call the divide between rich and poor, has characterized the nation since colonial times. With industrialization and urbanization during the first decades of the twentieth century, however, the growth of the Brazilian middle class has made this simple division more complex. Today, depending on how it is defined, the middle class accounts for one-fifth to one-third of the population, but the resources and lifestyle of its members vary considerably. Some claim the Brazilian middle class admires elite values and aspires to elite status and it is indeed true that middle-class families in Brazil are far more likely to employ domestic servants and send their children to private school than their North American counterparts. Still, a ray of hope emerged with the stabilization of the Brazilian currency and the rapid decline of inflation in the mid-1990s. Estimates suggest that some nineteen million Brazilians moved from the working poor to the lower middle class. For the first time these people had money to spend on consumer goods; those who remained poor also benefitted from stable prices and were better able to afford staples such as meat, chicken, eggs, and beans. Symbols of Social Stratification. Brazilians are preoccupied with class distinctions and are quick to size up the social distance that exists between themselves and others they meet. Yardsticks of such distance are general appearance and the ""correctness"" of a person's speech. The degree to which an individual's vocabulary and grammar is considered ""educated"" is used as a measure of schooling and, hence, social class. And this, in turn, establishes patterns of deference and authority between two individuals should they belong to different social strata. When such patterns are ignored, the ""elite"" persons may harshly demand of their ""lessers,"" ""Do you know whom you're talking to?""â€”a ritualized response when someone of higher status is not accorded due deference by someone lower on the social scale.";1;1;1;0;1;1;0;0
China;https://www.everyculture.com/Bo-Co/China.html;"Classes and Castes. Confucian philosophy endorses a hierarchical class system. At the top of the system are scholars, followed by farmers, artisans, and finally merchants and soldiers. A good deal of social mobility was possible in that system; it was common practice for a family to save its money to invest in the education and advancement of the oldest son. When the communists took control, they overturned this traditional hierarchy, professing the Symbols of Social Stratification. Cars, a rare commodity, are a symbol of high social and economic standing. Comfortable living accommodations with luxuries such as hot running water are another. Many government employees who could not otherwise afford these things get them as perks of the job. As recently as the 1980s, most people dressed in simple dark-colored clothing. Recently, more styles have become available, and brand-name or imitation brand-name American clothes are a marker of prosperity. This style of dress is more common in the cities but is visible in the countryside among the better-off farmers. Many minority groups maintain their traditional attire. Tibetans dress in layers of clothes to protect themselves from the harsh weather. The women wrap their heads in cloth. Uighur women wear long skirts and bright-colored scarves; the men wear embroidered caps.";1;0;1;1;0;1;1;1
Denmark;https://www.everyculture.com/Cr-Ga/Denmark.html;"Classes and Castes. Most national surveys dealing with social strata do not divide the population into different income groups. Instead, the population is categorized into five social layers, according to level of education and occupation. Those social categories are academics, owners of large farms, and persons with more than fifty employees (4 percent); farmers with at least four employees, owners of companies with more than six employees, and college-educated business owners (7 percent); farmers with a maximum of three employees, owners of small companies, and persons with jobs requiring expertise (21 percent); skilled workers, small landowners, and workers with a professional education (37 percent); and workers without skills training (32 percent). In the adult population, there has been an increase in unemployed people who receive public support from 6 percent in 1960 to 25 percent today. Increasing demands for skills in reading, writing, mathematics, computers, and stress management are among the factors that have caused this development. Unemployment rates are somewhat higher among ethnic minorities, with persons of Turkish descent having the highest rate. Figures from 1996 show inequality in income distribution: Twenty percent of the lowest-income families accounted for 6 percent of total income, while 20 percent of the highest-income families accounted for 40 percent of the income. Symbols of Social Stratification. According to a code of morality (the ""Jante Law"") which was formulated by the author Aksel Sandemose in his 1933 novel A Refugee Crosses His Tracks, a person should not display superiority materially or otherwise. Wealth and high social position are downplayed in public in regard to dress, jewelry, and housing. The point is to be discreet about individual distinction and avoid public boasting while allowing one's wealth to be recognized by persons in a similar economic position.";1;1;1;1;1;1;0;1
Egypt;https://www.everyculture.com/Cr-Ga/Egypt.html;Classes and Castes. In Egypt there is an enormous gap between the very wealthy and the very poor. The culture also encourages deference of the weak, poor, or subaltern to the rich and powerful, in terms of speech, posture, and acquiescence. The differences among individuals and families in Egypt can be represented by income level or source of income. They can also be represented in choices of consumption styleâ€”housing, transport, dress, language, education, music, and the like. Marriage negotiations bring all these differences of taste and income to the forefront. What is less evident in Egypt is a strong class consciousness that might turn potential classes into real ones. One finds only broad and loose categories that are the subject of much public discussion. The increasing prosperity of Egypt means that the middle class is increasing in relative size, while the gap between the top and the bottom is increasing. One-third of the population is below a poverty line established by the Egyptian government. The growing middle class aspires to a home, a car, and marriage and family life, and increasingly is able to achieve this.;1;1;1;1;0;1;1;1
Ethiopia;https://www.everyculture.com/Cr-Ga/Ethiopia.html;"Classes and Castes. There are four major social groups. At the top are high-ranking lineages, followed by low-ranking lineages. Caste groups, which are endogamous, with group membership ascribed by birth and membership associated with concepts of pollution, constitute the third social stratum. Slaves and the descendants of slaves are the lowest social group. This four-tier system is traditional; the contemporary social organization is dynamic, especially in urban areas. In urban society, the division of labor determines social class. Some jobs are esteemed more than others, such as lawyers and federal government employees. Many professions carry negative associations, such as metal workers, leather workers, and potters, who are considered of low status and frequently are isolated from mainstream society. Symbols of Social Stratification. Symbols of social stratification in rural areas include the amount of grain and cattle a person possesses. While the symbols of wealth in urban areas are different, it is still these symbols which index high social status. Wealth is the chief criterion for social stratification, but the amount of education, the neighborhood in which one lives, and the job one holds are also symbols of high or low status. Automobiles are difficult to obtain, and the ownership of a car is a symbol of wealth and high status.";1;1;1;0;1;1;1;1
France;https://www.everyculture.com/Cr-Ga/France.html;"Classes and Castes. France is a class-stratified society whose middle class did not develop significantly until the 1960s. Historically, society was divided among the nobility, the bourgeoisie , the peasants, and the urban proletariat. The French system was the basis for much of Karl Marx's analysis of class struggles during the nineteenth century. The dominant class now is referred to as the bourgeoisie, although this term is difficult to define. Primarily, this class is considered to be the group that controls education and industry. A major source of debate is the issue of social mobility for people of different social origins. Statistics indicate that there is still a strong tendency for children to remain in the occupational class of their parents. For instance, in 1994, almost 50 percent of the children of workers became workers; only 9 percent of them became elite workers. Fifty-six percent of the children of elite workers became elite workers. The school system is blamed for the lack of social mobility. Symbols of Social Stratification. Social stratification has two main axes: urban versus rural and economic class position. The urban upper class generally has ties to provincial seats of power. The bourgeoisie establish the major tenets of good taste and refinement, of being ""civilized."" One's taste in music, art, food, and leisure activities generally reveals one's social class origins. Symbols of a higher class position include knowing not only about fine art but about the newest trends in avant-garde art, understanding and being able to purchase fine wines, and dressing with understatement while revealing refined aesthetic sensibilities. Class consciousness is very strong. ""Symbolic capital"" plays a large role in social class, and not only wealth but family connections and lifestyle determine one's social position and opportunities.";1;0;1;1;1;1;0;0
Georgia;https://www.everyculture.com/Ge-It/Georgia.html;Classes and Castes. The systems of social stratification changed significantly because of the increasing income gap between the impoverished masses and former white-collar workers, and the new rich, who have used financial and social capital to accumulate capital through privatization or trade, or have taken advantage of corruption in the state bureaucracy. Another change is linked to the restructuring of the political and economic system from the Soviet centralized type to a free market, although frequently the same Soviet bureaucrats and Communist officials have become capitalists and advocates of a liberal economy. Much of the new capital is concentrated in Tbilisi, Batumi, and the Black Sea port of Poti and thus is dominated by ethnic Georgians. The Armenian and Jewish economic elite that once played an important role, especially in Tbilisi, has lost its position because of emigration or because they maintain a lower profile. Symbols of Social Stratification. An advanced position is expressed by a Westernized lifestyle. A Mercedes car symbolizes success, as do an apartment or house in a prestigious district, summering in France, and sending one's children to private European or American schools. Visiting casinos is another sign of upward social mobility.;1;1;1;0;0;1;1;1
Germany;https://www.everyculture.com/Ge-It/Germany.html;"Classes and Castes. By the early twentieth century, German society was divided into more or less clear-cut classes. Industrial workers included both the skilled and the unskilled. The former came from the manual trades but became factory laborers when it had proved impossible or undesirable to remain independent. The middle classes included small businessmen and independent members of the trades, white-collar employees, professionals, and civil servants. Finally, the upper or upper middle classes consisted of industrialists, financiers, high government officials, and large landowners, among others. Members of these classes were usually associated with corresponding political organizations and milieus, for example, the workers with unions and socialist or communist organizations, and the middle classes with a range of bourgeois parties, occupational organizations, and patriotic societies. In the German Empire and the Weimar Republic, however, many Catholics of all classes were organized in the Zentrum, or Center Party. The National Socialist (Nazi) Party found supporters among all social classes, especially the middle classes. The Third Reich was, in many ways, an upwardly mobile society, which created new jobs, provided subsidies, and opened career opportunities for party members. The success of many party supporters was gained at the expense of members of the workers' movement and the Jews and other minorities. In the prosperous West German society of the postwar era, class boundaries seemed to open up and admit more members into a new, more inclusive middle class. Correspondingly, the political distinction between the bourgeois and the socialist parties lessened. In East Germany, the Socialist Unity Party wanted to eliminate the bourgeoisie, which had compromised itself through its support of National Socialism. This was to be achieved by nationalizing larger private enterprises, forcing independent farmers to enter agricultural cooperatives, and favoring the children of workers in education and hiring programs. The GDR described itself as a ""workers' and peasants' state,"" but some social scientists have described it as a leveled middle-class Symbols of Social Stratification. Social class in Germany is not only a matter of training, employment, and income but also a style of life, self-understanding, and self-display. The so-called bildungsbÃ¼rgertum, or educated bourgeoisie of the nineteenth and early twentieth centuries, to cite one example, was characterized first and foremost by a particular constellation of artistic and literary taste, habits, and cultural and ethical values. Modern sociologists have tended to focus on the full range of social milieus that make up German society and on the various kinds of consumer behavior that characterize each milieu. Thus, variations in interior design in private residences, eating habits, taste in music and in other entertainment forms, reading materials, personal hygiene and clothing, sexual behavior, and leisure activities can all be viewed as indexes of association with one of a finite set of social milieus. A single example must suffice. Highly educated persons in business, government, or the professions are likely to read the Frankfurter Allgemeine Zeitung (a major newspaper, published in Frankfurt), if they are relatively conservative, or the SÃ¼ddeutsche Zeitung or the Frankfurter Rundschau (newspapers published in Munich and Frankfurt, respectively), if they are somewhat left of center. Members of both groups will probably also read the politically moderate and rather sophisticated weekly newspaper, Die Zeit (Hamburg). Conservatives who are more interested in politics and business than in arts and literature may read Die Welt (another Hamburg newspaper), while readers who identify more closely with an alternative leftist milieu are more likely to reach for die tageszeitung, or taz (a newspaper published in Berlin). In contrast, those with a vocational education, who are small business owners, employees, or workers may read the very popular Bild (Hamburg), a daily tabloid newspaper. Finally, those who still feel loyal to the defunct GDR or who hope that socialism will come again often read Neues Deutschland (Berlin), which was the official organ of the Socialist Unity Party, that is the East German communist party.";1;1;1;1;1;1;0;1
India;https://www.everyculture.com/Ge-It/India.html;"Classes and Castes. The caste system is more elaborate than that in any of the other Hindu or Buddhist countries. Society is so fragmented into castes that there can be twenty or thirty distinct castes within a village. This society has a hierarchy of endogamous, birth-ascribed groups, each of which traditionally is Hindu religious theory justifies the division of society into castes, with the unavoidable differences in status and the differential access to power each one has. Hindus usually believe that a soul can have multiple reincarnations and that after the death of the body a soul will be reassigned to another newborn human body or even to an animal one. This reassignment could be to one of a higher caste if the person did good deeds in the previous life or to a lower-status body if the person did bad deeds. The highest category of castes are those people called Brahmins in the Hindu system; they were traditionally priests and intellectuals. Below them in rank were castes called Ksatriya , including especially warriors and rulers. Third in rank were the Vaisyas , castes concerned with trading and land ownership. The fourth-ranking category were the Sudras , primarily farmers. Below these four categories and hardly recognized in the ancient and traditional model, were many castes treated as ""untouchable"" and traditionally called Pancama . Outside the system altogether were several hundred tribes, with highly varied cultural and subsistence patterns. The whole system was marked not just by extreme differences in status and power but by relative degrees of spiritual purity or pollution. A curious feature of the caste system is that despite its origins in the Hindu theory of fate and reincarnation, caste organization is found among Indian Muslims, Jews, and Christians in modern times. In the Buddhist lands of Korea, Japan, and Tibet, there are rudimentary caste systems, their existence signaled especially by the presence of untouchable social categories. The major cities in modern timesâ€”Bombay (Mumbai), Madras (Chennai), Calcutta (Kolkata), New Delhi, and Bangaloreâ€”were essentially residential creations of the British administrators. Architecturally, professionally, and in other ways, they are therefore the most Westernized cities in India today. In these cities and their suburbs, there is now a developed class system overlying and in many respects displacing the more traditional caste system. As a consequence, there are many modern cases of intercaste marriage in all the cities, although this practice remains almost unthinkable to the great majority of Indians. Symbols of Stratification. There are many symbols of class differentiation because each caste tends to have its own persisting subculture. People's location in this stratification system thus can be gauged accurately according to the way they dress, their personal names, the way they speak a local dialect, the deities they worship, who they are willing to eat with publicly, the location of their housing, and especially their occupations. The combination of all these subcultural features can be a sure sign of where individuals and their families are situated in the caste hierarchy.";0;1;1;1;1;1;0;1
Iran;https://www.everyculture.com/Ge-It/Iran.html;"Classes and Castes. Iranian society presents a puzzle for most standard social science analysis of social structure. On the one hand there is an out-ward appearance of extensive social stratification. When one peers beneath the surface, however, this impression breaks down almost immediately. In Iran one can never judge a book by its cover. A traditional gentleman in ragged clothes, unshaven, and without any outward trapping of luxury may in fact be very rich, and as powerful as the mightiest government official; or he may be a revered spiritual leader. On the other hand a well-dressed gentleman in an Italian suit driving a fine European car may be mired in debt and openly derided behind his back. Social mobility is also eminently possible in Iran. Clever youths from poor backgrounds may educate themselves, attach themselves to persons of power and authority, and rise quickly in status and wealth. Family connections help here, and hypergamy (marriage into a higher class) for both men and women is very important. High status is precarious in Iran. There is a symbiotic relationship between superior and inferior. Duty is incumbent on the inferior, but the noblesse oblige incumbent on the superior as a condition of maintaining status is often greater, as the last shah, Mohammad Reza Pahlavi, discovered in the Revolution. Nevertheless there are genuinely revered figures in public life. Public respect is largely accorded by diffuse and generalized acclimation, this being a form of status recognition that Iranians trust. The public has a tendency to dismiss awards, promotions, and public accolades as the result of political or social intriguing. The clerical hierarchy in Shi'a Islam is a good model for genuine advancement in social hierarchy because clerics advance through the informal acknowledgment of their peers.";1;1;1;1;0;1;1;0
Italy;https://www.everyculture.com/Ge-It/Italy.html;"Classes and Castes. There is a vast difference in wealth between the north and the south. There are also the usual social classes that are found in industrial society. Italy has a high unemployment rate, and differences between rich and poor are noticeable. New immigrants stand out since they come from poorer countries. The government has had a vast social welfare network that has been cut in recent years to fit the requirements of the European Union. These budget cuts have fallen on the poorer strata of society. Symbols of Social Stratification. Speech is a social boundary marker in Italy. The more education and ""breeding"" a person has, the closer that person's speech comes to the national language and differs from a dialect. Style of dress, choice of food and recreation, and other boundary markers also prevail. Clothes from Armani, Versace, and other fashion designers are beyond the reach of the poor. There is a difference also in what food one eats, certain food being more prestigious, such as veal or steak, than others. Although pasta and bread are still staples for all classes, it is what else and in what quantity meat is available that marks social classes. Leisure and the manner in which it is spent are also class boundary markers. The more leisure and the great the amount of travel mark off groups from each other. The more private the beaches, the longer the siesta, the more opulent the family villa, the greater the prestige. Soccer is for everyone, but more expensive entertainment is restricted by cost.";1;1;1;1;0;1;0;1
Japan;https://www.everyculture.com/Ja-Ma/Japan.html;"Classes and Castes. Japanese society has been portrayed as being essentially classless or as having a class structure in which very tiny elite groups and underclasses bracket an enormous number of middle-class people. However, there are significant social differences among rural and urban residents, including family composition, educational attainment, and labor force participation. Within the urban population, social differentiation exists between the white-collar, salaried ""new middle class,"" blue-collar industrial workers, and the self-employed petty entrepreneurial classes of shopkeepers and artisans. The neo-Confucian class system was abolished in the 1870s, but remnants of it continue to influence cultural attitudes toward social position, including the entitlement of elite groups to lead society and ideas about conformity to social expectations. Other legacies of premodern stratification include the continued existence of ""outcaste"" populations. This ""untouchable"" status results Other marginalized urban social categories include a large floating population of day laborers and migrant laborers, who have been joined by an increasing number of illegal and quasi-legal immigrants from China, Southeast Asia, Latin America, and the Middle East. Symbols of Social Stratification. One of the most important determinants of social stratification is educational attainment. Japanese people refer to a ""credential"" society, and educational credentials have often been regarded as the most important criteria for employment and marriage, particularly among the urban middle classes.";0;1;1;0;1;1;0;0
Mexico;https://www.everyculture.com/Ma-Ni/Mexico.html;Classes and Castes. Mexico has a very unequal distribution of wealth, even compared to other Latin American countries. With the introduction of neoliberal economic policies, inequalities have sharpened. In 1998, the top 20 percent of income earners accounted for 55 percent of Mexico's income, while an estimated 27 percent of the population was living below the poverty line. The size of the middle classes has shrunk in recent years. Although poverty and marginalization are widespread, they are particularly strong in central and southern Mexico and especially in rural areas. An official marginalization index that includes income levels and the availability and quality of services (such as drinking water, sewage, and education) indicates that the smallest settlements are the most underprivileged. There is a correlation between socioeconomic hierarchy and ethnicity. Among the poorest segments of the population a strong presence of Indian groups can be found. In 1995, almost all communities whose populations were comprised of more than 40 percent native language speakers suffered from high degrees of marginalization. This strongly contrasts with the wealthiest segments of the Mexican population, which are predominantly made up of whites. Symbols of Social Stratification. Class differences are marked in Mexico and are expressed symbolically in numerous ways. Wealthy Mexicans live in neighborhoods that are sealed off by armed private Wealthy people dress elegantly according to international clothing standards and wear expensive watches and jewelry. Dress codes are very strict in Mexico, especially at work and school. In primary and secondary school, students wear uniforms. Since colonial times, the use of sandals has been associated with the countryside, poverty, and Indians. An important cultural marker of class difference is access to all sorts of private facilities. Whereas wealthy people and members of the upper middle class send their children to private schools and universities, use private means of transportation, and go to private hospitals and sports clubs, the not-so well-off make use of crowded state-subsidized facilities. Class differences are also confirmed in certain behavioral rules. One such rule involves the ritual of waiting that a person from a lower position in the social hierarchy has to endure when seeking access to someone at a higher level. When class differences coincide with ethnic distinctions, discriminatory practices are not unusual.;1;1;1;1;0;1;1;1
New Zealand;https://www.everyculture.com/Ma-Ni/New-Zealand.html;"Classes and Castes. New Zealand no longer is considered a welfare state in which all are equal. Ethnic (Maori, Pacific Islander) poverty is evident in New Zealand has a well-established class society based on income. Cities have developed a ""first settler"" elite of ""old"" families claiming prestige and status and occupying the inner ring of the city. Not all are wealthy. Maori maintain a status structure based on mana (inherited or earned) and respect (of older for younger, female for male), though this has largely broken down in the cities. Symbols of Social Stratification. There are ostentatious houses and expensive cars in some areas. The Maori chiefly class ( rangatira ) and chiefs ( ariki ) wear a feathered cloak (as do honored Pakeha) on special marae occasions. Cultural performances of Maori dances include the traditional kilt (male) and apron (female).";1;1;0;1;0;1;1;1
