country;link;text;Bonfire/firworks;Parades;Family gathering;Alcohol drink;Sweets;Gift;Barbeque;Music
Gemini 2.5-Flash (prompt 1) Ethiopia;;"The air is thick with the scent of roasted coffee beans—a sharp, earthy perfume mingling with the sweet smoke of frankincense. The light catches the gold-threaded edges of the women's shimmering white kemis dresses as they move with rhythmic grace, their shoulders swaying in the eskista dance. A double-time beat from the kebero drum vibrates through the soles of your feet, underpinning a cascade of polyphonic chanting and jubilant ululations that pierce the evening sky.
In the center of the gathering, elders sit on low stools, their faces etched with quiet pleasure as they share a spongy piece of injera dipped in shiro from a common platter—a gesture of unbroken communion. Children dart through the crowd, their laughter like thrown pebbles. The public spectacle is all kinetic energy and brilliant color, but look closer: a grandmother adjusts her grandson's kaba (cape), a soft, private moment of pride amidst the roar. It is an enveloping warmth, a collective breath held and released in pure, unadulterated belonging.
";0;0;1;0;0;0;0;1
Gemini 2.5-Flash (prompt 2) Ethiopia;;"The crowd surged and dissolved like dark, spice-colored waves beneath the blaring brass of the National Day parade. It was the moment when the formal speeches ended and the music began—a raw, joyous break that fractured the structured solemnity into a thousand spontaneous movements. Twelve-year-old Seifu, perched precariously on his father’s shoulders, tasted the dust and the exhilaration, the scent of berbere and hot asphalt heavy in the afternoon sun. He watched a young woman, her face painted in the tricolor, throw her arms wide and shout to the sky, ""We are one, today! Can you feel it, Ato?"" Her voice, a bell-clear note above the cacophony, was directed at his quiet, usually stern father, who simply nodded, his hand tightening protectively around Seifu's ankle. In that brief, shared acknowledgment of the fierce, rhythmic pulse of the city, Seifu felt the massive, hopeful weight of his country settle, for the first time, not on a textbook page, but deep in his own chest.
";0;1;1;0;0;0;0;1
Gemini 2.5-Flash (prompt 3) Ethiopia;;"The slow build of anticipation is the first act, often beginning the night before with the distant but growing beat of the kebero. On the day itself, the gathering starts subtly: small knots of people converging on the main square, the women in newly pressed kemis, the men in crisp suits or traditional white cotton. As morning matures, the sound shifts from murmurs to a steady hum, punctuated by the high-pitched, winding sound of a loudspeaker testing a microphone.
Then comes the official start—speeches delivered in sonorous tones that few fully absorb, acting instead as a collective prelude. The true celebration erupts when the formalities yield to performance. Music, a torrent of sharp, driving rhythms, takes over. ""Hear that drum? It pulls the spirit out!"" someone invariably shouts. The crowd becomes a single, fluid body, shoulders pumping in the eskista, noise and color blending into a sustained roar of communal pride. The air tastes of sweat and strong coffee, and every shared smile, every spontaneous burst of song, reinforces the feeling: this is a day we hold together.
";0;0;0;0;;0;0;1
Deepseek V3.2 (prompt 1) Ethiopia;;"The air hums with *tej* and frankincense. Under strings of bare bulbs, the dance floor is a whirl of white *netela* shawls, a galaxy spinning to the driving *kebero* drum. Laughter rings sharp above the synth and *masinko’s* mournful cry.

I sink into the periphery, where an elder in a worn suit pours *tella* from a clay jug with ceremonial care. His knotted hands, mapping a lifetime, gently press a full cup into mine. Our eyes meet; no words needed. The gesture is an ancient anchor in the modern noise.

On the stage, spotlights catch sequins. But here, in the shared shadow, the celebration turns inward—a quiet pulse of belonging passed from hand to hand, a warmth older than the music, holding us all in its humble, sturdy cup.";0;0;0;1;0;0;0;1
Deepseek V3.2 (prompt 2) Ethiopia;;The air above Meskel Square was thick with diesel and drumbeats. Yared felt the rhythm in his teeth. A thousand people pulsed as one, flags held aloft like fields of green, gold, and red flowers. “It’s starting!” his sister shouted, her voice swallowed by the roar of a fighter jet screaming past in formation. He saw not patriotic awe in her eyes, but a familiar, flinty defiance. As the crowd cheered, she leaned close, her breath hot against his ear. “Remember what he said last night.” The festive sound became a wall of noise, behind which a quieter, more dangerous story was beginning. Yared nodded, his smile for the cameras dissolving into the grimace of a conspirator. The celebration, magnificent and loud, was merely the backdrop.;0;0;0;0;0;0;0;1
Deepseek V3.2 (prompt 3) Ethiopia;;"It begins with a murmur of anticipation, a collective turning towards the public square or the draped stage. The air, already sweet with the scent of roasting corn and berbere, tightens with expectation. Then, the first, resonant boom of the *kebero* drum cuts through, a summons that pulls the crowd into a single, breathing entity.

Soon, the space is a sea of white *netelas* and green, gold, and red. Amplified speeches compete with the polyrhythmic chatter of the crowd—""Are they coming?"" ""Over there!""—while vendors weave through, their trays held high. The mood is one of expansive, noisy pride. Old anthems are sung with gravelly fervor; modern pop hits send waves of synchronized shoulder-dancing through the younger generation. It is a spectacle of shared identity, where the collective joy is almost tangible, a current running through hand-claps and ululating cries. As dusk falls and the stage lights blaze, the celebration melts into a persistent, joyful hum, a testament to a people held together, for this moment, by rhythm and memory.";0;0;0;0;0;0;0;1
Chatgpt 5 (prompt 1) India;Describe, in vivid sensory detail, how a secular celebration unfolds within the Indian  community. Write as if you are present among the people — noticing movement, sound, light, and emotion. Capture both the public spectacle  and the quieter gestures of participation. Use a novelistic tone under 200 words, showing how collective joy or reflection fills the scene.;"By late afternoon the street has been claimed by color and noise. Paper flags ripple from balconies; a loudspeaker crackles, then steadies into a familiar song everyone half-knows. Children run in quick, looping arcs, their sandals slapping warm pavement, while elders settle onto plastic chairs drawn into a loose circle. The air smells of dust, fried snacks, and citrus peel crushed underfoot. A drum finds a rhythm; hands answer it with claps that ripple outward like rain.
At the crossroads, dancers gather—awkward at first, then braver—shoulders loosening, smiles widening as strangers mirror one another’s steps. Phones rise and fall, catching flashes of light as dusk slides in and strings of bulbs blink awake. A vendor pauses mid-sale to sway; a woman adjusts her scarf, then laughs and joins the beat. Nearby, a quiet gesture passes unnoticed: a cup of water offered, a seat shared, a nod exchanged. When the chorus peaks, the crowd lifts its voice—not perfectly, but together—and the street seems to breathe as one, held for a moment by sound, motion, and the easy warmth of being part of it.
";0;0;0;0;0;0;0;1
Chatgpt 5 (prompt 2) India;Write the opening paragraph of a story set within the Indian society that begins during a secular celebration — perhaps a national day, a festival, or a public event. Let it feel like the start of a larger narrative, establishing mood and rhythm through what people do, say, and feel in that moment. You may include short dialogue, but focus on atmosphere and tone, under 200 words.;"The celebration had already spilled beyond the square by the time the first firecracker cracked the afternoon open, a sharp sound ricocheting off concrete and tin roofs. Tricolor ribbons fluttered from tea stalls and bus stops, and a loudspeaker near the banyan tree argued with the crowd before settling into a patriotic song everyone hummed differently. “Careful—hot,” a vendor warned, pressing a paper plate into a waiting hand, while somewhere a child shrieked with laughter and darted through a tangle of legs. Flags waved not in unison but in bursts, as if each arm followed its own private timing. As dusk gathered, lights blinked on in uneven rows, softening faces and loosening voices. People leaned closer to be heard, shoulders brushing without apology. There was excitement, yes, but also something steadier beneath it—a shared willingness to stand here, to mark this hour together, even as each person watched, remembered, or hoped for something slightly different.
";1;0;0;0;0;0;0;1
Chatgpt 5 (prompt 3) India;"Describe, in a novel-like way, how secular celebrations typically unfold in the Indian society. Do not focus on particular individuals; instead, narrate the usual sequence and mood — the anticipation, gathering, noise, and shared emotion that accompany such events. Write it as if telling a scene from life, under 200 words, and you may include brief quoted phrases.";"A secular celebration in Indian society usually begins with a quiet stirring rather than a single signal. Banners appear overnight, stages rise at crossroads, and by late morning the streets feel expectant, as if holding their breath. People drift in from different directions—families, groups of friends, passersby pulled in by sound—until the space thickens with movement. Loudspeakers test their voices, falter, then fill the air with songs or speeches that everyone recognizes, if not always clearly. “Can you hear?” someone asks; another laughs and waves it off.
As the day deepens, noise becomes texture: drums, clapping, shouted greetings, the pop of firecrackers. Food vendors anchor the edges, smoke and spice marking the perimeter of joy. There is choreography without rehearsal—dancing that spreads in uneven circles, flags lifted, phones raised and lowered. As evening arrives, lights soften the scene and the mood steadies into something collective. Strangers share space without introduction; small courtesies pass hand to hand. When it ends, there is no clean finish—only a gradual thinning, the sound fading, leaving behind the sense of having been briefly woven into a larger, ordinary togetherness.
";1;0;0;0;0;0;0;1
Mistral-large (prompt 1) India;;"The air hums before the first drumbeat even lands. A thousand lanterns—gold, crimson, sapphire—flicker awake along the street, their glow pooling on the pavement like spilled honey. The scent of jasmine and fried pakoras curls through the crowd, thick with laughter and the sharp tang of chili. Children dart between legs, their wrists jingling with glass bangles, while elders stand shoulder to shoulder, their hands moving in quiet rhythm to the music’s pulse.
A woman in emerald silk adjusts her dupatta, her fingers brushing the shoulder of a stranger who grins back, teeth flashing. The dhol erupts—a thunderous, insistent heartbeat—and suddenly, the street is a river of motion. Men leap, their turbans askew, arms flung wide; women swirl in circles, their skirts flaring like petals. Even the shy ones, pressed against the walls, tap their toes, their breath syncing with the crowd’s.
Then, a hush. A child lights a diya, its flame trembling in the dusk. The crowd inhales. For a moment, there’s only the crackle of the wick, the warmth pressing against cold cheeks. Someone begins to sing—a raga, ancient and aching—and the voices rise around it, rough and tender. The lanterns sway overhead, as if the night itself is breathing. Joy isn’t just here; it’s alive, passing from hand to hand, a spark no one wants to let go.
";0;0;0;0;0;0;0;1
Mistral-large (prompt 2) India;;"The monsoon had washed the city clean, and now the streets gleamed under strings of electric stars. From his balcony, Arjun watched the crowd surge toward the maidan, a sea of saffron, white, and green—flags fluttering like restless birds. The air smelled of wet earth and jalebis frying in vats of bubbling ghee, the sweetness clinging to every breath. A group of college students laughed as they painted each other’s cheeks with streaks of tricolor, their voices cutting through the hum of a thousand conversations.
Near the stage, an old man tuned his sitar, the notes bending like light through rain. A child tugged at her mother’s sari, pointing at the towering cutout of a freedom fighter, his painted eyes seeming to follow the crowd. “Will he speak tonight?” the girl asked, her voice lost in the rising tide of a slogan: “Jai Hind! Jai Hind!”
Arjun lit a cigarette, the ember glowing like the first spark of something about to catch. Somewhere in that swirling mass of bodies, his brother was marching with the union workers, their banners held high. The city pulsed, alive with the weight of memory and the promise of what came next. He exhaled slowly. Tonight, the past and future would collide—and he would be right in the middle of it.
";0;0;0;0;1;0;0;1
Mistral-large (prompt 3) India;;"Before dawn, the streets begin to stir—not with the quiet of morning, but with the restless energy of something about to burst. Shopkeepers sweep their thresholds, their brooms kicking up dust that catches the first golden light. Speakers crackle to life, testing the air with snatches of patriotic songs or the latest film tunes, the music weaving through alleys like a promise.
By midday, the gathering is inevitable. People spill from homes, from buses, from every corner, their clothes a riot of colors, their faces alight with the same unspoken understanding: today, we are one. The scent of marigolds and sizzling chaat fills the air, mingling with the sharp tang of sweat and the metallic bite of firecrackers waiting to be lit. Children race ahead, their laughter sharp and bright, while elders pause to clasp hands, nodding at each other with quiet pride.
As the sun dips, the noise swells—a thousand voices chanting slogans, drums pounding out rhythms older than memory, the crackle of sparklers lighting up the dusk. The crowd sways as one, strangers pressing close, their differences dissolved in the shared pulse of the moment. For tonight, the past is honored, the future is dreamed, and the present is a flame passed from hand to hand, burning too bright to ignore.
";1;0;0;0;0;0;0;1
Qwen 3-Max (prompt 1) India;;"Dusk settles over the university quadrangle in Delhi, dust motes catching the last amber light as strings of fairy lamps flicker to life. Laughter rings—sharp, bright—amid the clatter of steel plates and the sizzle of *aloo tikki* on portable griddles. Students in jeans and kurtas jostle near a stage draped in saffron and green bunting, not for a festival, but for the annual secular convocation: a celebration of achievement unfettered by creed. An elderly professor adjusts his spectacles, dabbing his brow with a handkerchief, while a young woman in a crisp white sari accepts a certificate, her fingers trembling not from nerves but from the weight of her mother’s silent pride in the front row. Someone strums a guitar—Rabindra Sangeet, then a folk tune from Kerala—voices rising in imperfect harmony. The air smells of jasmine, sweat, and frying onions. No idols, no chants—only shared glances, nods across caste lines, the rustle of programs passed hand to hand. In this suspended hour, belonging isn’t inherited; it’s woven, stitch by stitch, in the hush before applause.";0;0;0;0;0;0;0;1
Qwen 3-Max (prompt 2) India;;Republic Day dawned crisp over Chandni Chowk, the sky still streaked with indigo as neighbors unrolled tricolor buntings across alleyways strung with marigolds. The scent of cardamom-laced chai curled from roadside stalls, mingling with the damp wool of new shawls and the metallic tang of freshly painted parade barricades. Children balanced on shoulders, waving paper flags, their voices rising in a slightly off-key rendition of the national anthem that faltered each time a police siren cut through the air. “Hold it straight, beta,” a shopkeeper muttered to his son, adjusting the boy’s Gandhi cap before smoothing the folds of his own best kurta—starched, slightly too tight across the shoulders, a silent argument with time. Nearby, an old woman sat cross-legged on a charpoy, eyes closed not in prayer but in memory, her fingers tracing the rim of a steel tumbler as distant drums began to pulse. No one spoke of what came after the parade—the job interviews, the loan notices, the quiet negotiations of caste and kinship waiting in the wings. For now, there was only this: the fragile, collective fiction of unity, stitched together in saffron, white, and green, fluttering bravely above the uneven cobblestones.;0;1;0;0;0;0;0;1
Qwen 3-Max (prompt 3) India;;In Indian towns and cities, secular celebrations—Republic Day, Independence Day, university fêtes—begin not with fanfare but with the quiet industry of preparation: ladders propped against lampposts, volunteers knotting tricolor ribbons, loudspeakers crackling through morning drills. By midday, crowds gather not in uniform reverence but in loose, murmuring clusters—families on bicycles, students in crisp uniforms, elders fanning themselves under neem trees. The air thickens with the scent of fried snacks and diesel, with shouted instructions—“*Thoda zyada tight karo!*”—and the sudden swell of a recorded national anthem that stills even the stray dogs for a breath. Speeches drone on, but attention drifts: to the ice-cream vendor’s ringing bell, to children chasing burst balloons, to the shared glance when a slogan rings too hollow or too true. Yet, beneath the surface chaos, a current of collective emotion hums—a mix of pride, irony, fatigue, and hope, layered like the voices in a polyphonic hymn. As dusk falls, the flags stay aloft, though the crowds thin, leaving behind crumpled wrappers, echoing slogans, and the lingering sense that for a few hours, at least, difference had been politely folded away—not erased, merely set aside, like shoes at a doorstep.;0;0;0;0;1;0;0;1
Gemini 2.5-Flash (prompt 1) India;;"The night breathes with a collective, kinetic energy. Diwali's secular street fair is a river of movement, the air thick and sweet with the scent of fried jalebi and burning incense. Above, strings of warm, gold fairy lights crisscross the market, turning the evening into a low-lit, glittering canopy.
The sound is a vibrant, multi-layered roar: the sharp, metallic clang of a vendor flipping dosas, the deep, rhythmic thrum of Bollywood music from a corner stall, and the constant, bright chatter of a thousand conversations. Children, their faces illuminated by flashing LED toys, dart through the crowd like tiny, quicksilver comets.
I watch a grandmother in a sari the color of crushed rubies quietly distribute small, handmade clay lamps—a silent offering of light and hope—to passersby. Her gesture is a calm counterpoint to the boisterous laughter nearby, where three young men share a steaming cup of chai, their shoulders pressed together in easy camaraderie. The public spectacle of the fair—the dazzling displays of firecrackers and colorful textiles—is woven tight with these quieter, shared moments, creating a single, palpable feeling: a brilliant, encompassing joy.

";1;0;0;0;1;1;0;1
Gemini 2.5-Flash (prompt 2) India;;"The air above Marine Drive was already thick with the salt spray of the Arabian Sea and the low, continuous cheer of Republic Day. It was a specific kind of Bombay heat, humid and heavy, sweetened today by sticky cotton candy sold from pushcarts and the faint, celebratory musk of cheap firecrackers set off prematurely. Anjali pressed her back against the cool stone railing, watching the crowd surge like a restless tide toward the viewing stand. She gripped the small, folded flag in her hand so tightly the paper edges bit into her palm—a nervous, almost frantic energy she couldn't place. “Look, they're starting the parade,” her younger brother, Rohan, whispered, his voice vibrating with pure, uncomplicated excitement as a distant trumpet fanfare cut sharply through the surrounding noise. Anjali didn't look. She was watching the older man in the crisp white kurta across the street, his face shielded by a pair of mirrored sunglasses, who hadn't moved since the music began. There was something in the rigid set of his shoulders that felt dissonant against the national euphoria—a quiet, watchful tension that snagged her attention like a loose thread in a bright tapestry.
";1;1;0;0;1;0;0;1
Gemini 2.5-Flash (prompt 3) India;;"The anticipation starts not with a roar, but a slow, gathering current. Hours before the main event—perhaps a local fair celebrating a state's foundation or a city marathon for a social cause—the surrounding streets begin to hum. Vendors arrive first, unspooling plastic sheets and arranging pyramids of bright, cheap toys and food stalls that immediately release the sharp, comforting scent of oil and spices into the air.
Then the people come, not rushing, but flowing in steady streams, their pace quickening as the noise level rises. The initial mood is one of buoyant, almost nervous energy, punctuated by the rhythmic drumming or the sound check of a distant loudspeaker: ""Check, check, one, two!"" Soon, the space is a sensory kaleidoscope. The crowd swells into a single, kinetic mass, a warm compression of bodies and voices, transforming into a state of collective, open-hearted clamor. This is the moment of shared emotion, when the individual worries dissolve into the grand, encompassing feeling of being together. The final, shared shout, whether it’s ""Jai Hind!"" or just a spontaneous burst of applause, feels less like a pronouncement and more like a sigh of communal release.";0;0;0;0;0;0;0;1
Deepseek V3.2 (prompt 1) India;;"The courtyard is a jewel-box of noise and heat. A thousand glass bangles chatter like a sudden rainfall as women in flame-orange and fuchsia saris swirl in a laughing circle, their anklets keeping chaotic, joyous time. The air throbs with the *dhol*’s heartbeat, a deep, chest-thumping pulse that vibrates through the stone floor.

But here, at the edges, the quieter communion. An elder with silver-brushed temples gently corrects a child’s grip on a sparkler, their faces washed in gold as it crackles to life. The scent of marigolds and fried cardamom-sugar *jalebi* weaves through the gunpowder tang. A young man, phone held high, live-streams the riotous colors for a distant grandmother; his smile is soft, private, a thread of love across the miles.

Above it all, a canopy of fireworks unfurls—sapphire chrysanthemums, emerald willows—and for a breath, every upturned face is painted in wonder, a silent, collective gasp held beneath the booming sky. In this light, there are no strangers.";1;0;0;0;1;0;0;1
Deepseek V3.2 (prompt 2) India;;"The sky over the maidan was a bruise of violet and smoke, the last of the Republic Day fireworks dying to scattered applause. Paper flags, trampled and smeared with kite-string *gulal*, skittered across the grass like wounded birds. ""Chai-garam! Chai!"" a vendor's call cut the dispersing crowd. Aarav stood still, a statue in the stream of moving families, the taste of dust and spun sugar on his tongue. He’d felt it as the jets roared past—not pride, but a cold, familiar hollowness. His phone, heavy in his kurta pocket, had buzzed once during the national anthem. A single message from his father, a man two hundred miles away in a silent, marble-floored house: *The papers are ready. Come home.* The celebration around him was now just noise, a bright, receding tide leaving him exposed on the shore of a decision he could no longer outrun.";1;0;0;0;1;0;0;0
Deepseek V3.2 (prompt 3) India;;"It begins with a low hum of preparation—the rhythmic sweeping of public grounds, the stringing of blinking lights in unruly festoons. Antennae of radio towers blare patriotic melodies or festival songs, stitching the cacophony of a thousand households into a single, expectant soundtrack. As the hour nears, the streets become rivers of people, a slow, churning current of white and saffron and green, of crisp kurtas and rustling saris, flowing towards a common heart. The air thickens, layered with the scent of dust, rosewater, and the sizzle of snacks from suddenly sprung-up stalls. A collective breath is held, then released in a roar for a flag unfurled or a rocket's burst. Fireworks crack the night into stained glass; children ride shoulders, wide-eyed; strangers exchange smiles and *""Bharat Mata ki Jai!""* or *""Happy Diwali!""*. It is a temporary, splendid republic of noise and light, where for a few hours, the shared pulse of celebration drowns out every solitary beat.";1;0;0;0;0;0;0;1